date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:50	55280/55280	---M-Z	200	added ('OK')	font/opentype	etag:W/%227e2bf51198d2ced5a36f2d4d9e925f0b9fa0fbe5%22	https://use.typekit.net/af/b683e3/00000000000000003b9b306c/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n9&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/b683e3/00000000000000003b9b306c/27/ac150	(from https://use.typekit.net/wsc2hzy.css)
10:21:50	29080/29080	---M--	200	added ('OK')	application/font-woff	etag:%221b3e6853b0646e3dd57fcb34d92434b95c49d1db%22	https://use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/de003	(from https://use.typekit.net/wsc2hzy.css)
10:21:50	60664/60664	---M-Z	200	added ('OK')	font/opentype	etag:W/%221b3e6853b0646e3dd57fcb34d92434b95c49d1db%22	https://use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/cfd60a/00000000000000003b9b3034/27/ae003	(from https://use.typekit.net/wsc2hzy.css)
10:21:51	27920/27920	---M--	200	added ('OK')	application/font-woff2	etag:%22970735b9e65a1002331d5d9555efcb3268101487%22	https://use.typekit.net/af/2657d4/00000000000000003b9b3038/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/2657d4/00000000000000003b9b3038/27/l652f	(from https://use.typekit.net/wsc2hzy.css)
10:21:51	29808/29808	---M--	200	added ('OK')	application/font-woff	etag:%22970735b9e65a1002331d5d9555efcb3268101487%22	https://use.typekit.net/af/2657d4/00000000000000003b9b3038/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/2657d4/00000000000000003b9b3038/27/d652f	(from https://use.typekit.net/wsc2hzy.css)
10:21:51	60960/60960	---M-Z	200	added ('OK')	font/opentype	etag:W/%22970735b9e65a1002331d5d9555efcb3268101487%22	https://use.typekit.net/af/2657d4/00000000000000003b9b3038/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Benim%20Web%20Sitem/botlistsite/use.typekit.net/af/2657d4/00000000000000003b9b3038/27/a652f	(from https://use.typekit.net/wsc2hzy.css)
10:21:51	5060/5060	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Dec%202020%2016:34:58%20GMT	https://botsbase.net/assets/css/main.css	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/css/main.css	(from https://botsbase.net/)
10:21:51	682/682	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:51%20GMT	https://botsbase.net/assets/img/logo.png	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/assets/img/logo.46.delayed	(from https://botsbase.net/bots?page=1)
10:21:52	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:51%20GMT	https://botsbase.net/404	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/404	(from https://botsbase.net/bots?page=1)
10:21:52	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:52%20GMT	https://botsbase.net/discord	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/discord	(from https://botsbase.net/bots?page=1)
10:21:52	682/682	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:52%20GMT	https://botsbase.net/certificate	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/certificate	(from https://botsbase.net/bots?page=1)
10:21:52	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:52%20GMT	https://botsbase.net/404	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/404	(from https://botsbase.net/bots?page=1)
10:21:53	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:53%20GMT	https://botsbase.net/auth/login	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/auth/login	(from https://botsbase.net/bots?page=1)
10:21:53	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:53%20GMT	https://botsbase.net/auth/auth.php?action=login	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/auth/auth456e.php	(from https://botsbase.net/bots?page=1)
10:21:54	14875/14875	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:54%20GMT	https://botsbase.net/bot/747076873359458370	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/747076873359458370.html	(from https://botsbase.net/bots?page=1)
10:21:54	5836/5836	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:54%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/747076873359458370/3795f7411d6acd44ad5f07b94289a82a.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image4dc3.png	(from https://botsbase.net/bots?page=1)
10:21:55	16522/16522	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:54%20GMT	https://botsbase.net/bot/772072091905425428	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/772072091905425428.html	(from https://botsbase.net/bots?page=1)
10:21:55	4525/4525	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:55%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/772072091905425428/64a4e89510013f5b429dbf0e3ba5e5cc.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image0892.png	(from https://botsbase.net/bots?page=1)
10:21:55	13209/13209	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:55%20GMT	https://botsbase.net/bot/760103226136723497	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/760103226136723497.html	(from https://botsbase.net/bots?page=1)
10:21:56	4677/4677	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:56%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/760103226136723497/9ea634f064300f4027b351677599427a.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image786f.png	(from https://botsbase.net/bots?page=1)
10:21:56	9782/9782	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:56%20GMT	https://botsbase.net/bot/779734377780477982	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/779734377780477982.html	(from https://botsbase.net/bots?page=1)
